Airfoil,w_l1,w_l2,w_l3,w_l4,w_l5,w_l6,w_u1,w_u2,w_u3,w_u4,w_u5,w_u6,Alpha,CL,CD
A11,-0.17813,-0.16799,-0.17621,-0.14011,-0.1628,-0.12928,0.188482,0.169369,0.179399,0.152752,0.149636,0.152515,6,0.7227,0.01163
A11,-0.17813,-0.16799,-0.17621,-0.14011,-0.1628,-0.12928,0.188482,0.169369,0.179399,0.152752,0.149636,0.152515,8,0.933,0.01448
A11,-0.17813,-0.16799,-0.17621,-0.14011,-0.1628,-0.12928,0.188482,0.169369,0.179399,0.152752,0.149636,0.152515,10,1.0427,0.01795
A12,-0.15425,-0.16144,-0.16333,-0.12541,-0.13316,-0.12457,0.164345,0.156153,0.154439,0.14338,0.155111,0.133231,0,0.0254,0.0063
A12,-0.15425,-0.16144,-0.16333,-0.12541,-0.13316,-0.12457,0.164345,0.156153,0.154439,0.14338,0.155111,0.133231,2,0.2284,0.00659
A12,-0.15425,-0.16144,-0.16333,-0.12541,-0.13316,-0.12457,0.164345,0.156153,0.154439,0.14338,0.155111,0.133231,4,0.4896,0.00885
A12,-0.15425,-0.16144,-0.16333,-0.12541,-0.13316,-0.12457,0.164345,0.156153,0.154439,0.14338,0.155111,0.133231,6,0.7593,0.01187
A12,-0.15425,-0.16144,-0.16333,-0.12541,-0.13316,-0.12457,0.164345,0.156153,0.154439,0.14338,0.155111,0.133231,8,0.9,0.01492
A12,-0.15425,-0.16144,-0.16333,-0.12541,-0.13316,-0.12457,0.164345,0.156153,0.154439,0.14338,0.155111,0.133231,10,1.0284,0.01935
A13,-0.15785,-0.16713,-0.15711,-0.14765,-0.16445,-0.12996,0.170681,0.146498,0.167423,0.133149,0.133965,0.157735,-2,-0.2361,0.0068
A13,-0.15785,-0.16713,-0.15711,-0.14765,-0.16445,-0.12996,0.170681,0.146498,0.167423,0.133149,0.133965,0.157735,0,-0.0056,0.00619
A13,-0.15785,-0.16713,-0.15711,-0.14765,-0.16445,-0.12996,0.170681,0.146498,0.167423,0.133149,0.133965,0.157735,2,0.1945,0.00702
A13,-0.15785,-0.16713,-0.15711,-0.14765,-0.16445,-0.12996,0.170681,0.146498,0.167423,0.133149,0.133965,0.157735,4,0.4293,0.0089
A13,-0.15785,-0.16713,-0.15711,-0.14765,-0.16445,-0.12996,0.170681,0.146498,0.167423,0.133149,0.133965,0.157735,6,0.7012,0.0121
A13,-0.15785,-0.16713,-0.15711,-0.14765,-0.16445,-0.12996,0.170681,0.146498,0.167423,0.133149,0.133965,0.157735,8,0.9121,0.01512
A13,-0.15785,-0.16713,-0.15711,-0.14765,-0.16445,-0.12996,0.170681,0.146498,0.167423,0.133149,0.133965,0.157735,10,1.0186,0.019
A14,-0.1689,-0.14259,-0.14178,-0.14145,-0.1385,-0.13054,0.169183,0.139505,0.170584,0.124218,0.135635,0.157387,-2,-0.2202,0.00692
A14,-0.1689,-0.14259,-0.14178,-0.14145,-0.1385,-0.13054,0.169183,0.139505,0.170584,0.124218,0.135635,0.157387,0,0.0111,0.00598
A14,-0.1689,-0.14259,-0.14178,-0.14145,-0.1385,-0.13054,0.169183,0.139505,0.170584,0.124218,0.135635,0.157387,4,0.4943,0.00934
A14,-0.1689,-0.14259,-0.14178,-0.14145,-0.1385,-0.13054,0.169183,0.139505,0.170584,0.124218,0.135635,0.157387,6,0.7687,0.01234
A14,-0.1689,-0.14259,-0.14178,-0.14145,-0.1385,-0.13054,0.169183,0.139505,0.170584,0.124218,0.135635,0.157387,8,0.9095,0.01508
